model_name,model_id,best_threshold,F1,AUC,Accuracy,anomalies_percentage
encoder_size_2_decoder_size_2_latent_size_2_beta_1_reconstruction_loss_100,19,0.055102040816326525,0.9741237922752253,0.9738120455707628,0.9737787299736921,0.5196597353497164
encoder_size_2_decoder_size_2_latent_size_5_beta_1_reconstruction_loss_100,20,0.05204081632653061,0.9730298970908217,0.9726074040287793,0.9725657303990296,0.5221802142407057
encoder_size_2_decoder_size_2_latent_size_10_beta_1_reconstruction_loss_100,21,0.05204081632653061,0.96973018029143,0.9691567761987764,0.9691078939491801,0.5257088846880907
encoder_size_3_decoder_size_3_latent_size_2_beta_1_reconstruction_loss_100,22,0.058163265306122446,0.9544495735379536,0.9531258397929492,0.9530553411364389,0.5354127284183995
encoder_size_3_decoder_size_3_latent_size_5_beta_1_reconstruction_loss_100,23,0.05204081632653061,0.9772458628841606,0.9769853355017701,0.9769530080814127,0.5183994959042219
encoder_size_3_decoder_size_3_latent_size_10_beta_1_reconstruction_loss_100,24,0.05204081632653061,0.9717334983179305,0.9712553728682283,0.9712109516533026,0.5245746691871456
encoder_size_4_decoder_size_4_latent_size_2_beta_1_reconstruction_loss_100,25,0.05204081632653061,0.9795074936448278,0.979326629603725,0.9793002410245908,0.5155639571518589
encoder_size_4_decoder_size_4_latent_size_5_beta_1_reconstruction_loss_100,26,0.05204081632653061,0.9774117720316952,0.9771723693531529,0.9771420469761654,0.5172652804032766
encoder_size_4_decoder_size_4_latent_size_10_beta_1_reconstruction_loss_100,27,0.05204081632653061,0.9716035161232963,0.9711143070096879,0.9710691724822382,0.5243226212980466
